------------------------------------------------------------

[10:00:23:000]	recv [D1] (8) C011021509342200
[11:44:41:447]	send [EA] (110) 000000FFFF1102150B2C2C010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:44:44:349]	recv [EA] (29) 1102150B2C2C010A0000000D3000000000000099989999999900000000
[11:44:44:817]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:44:45:690]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:44:46:002]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:44:46:377]	CPUCard cmd: (5)805C000204 -> [9000](6)000014B49000
[11:44:46:533]	recv [EA] (447) 1102100B1810010A000001AF95FFFFFFFF20170216112206261001411702150332910000000025040000000000002505000000000000250600000000000025070000000000002508000000000000250900000000000025100000000000002511000000000000251200000000000025130000000000002514000000000000251500000000000025160000000000002517000000000000251800000000000025190000000000002520000000000000252100000000000025220000000000002523000000000000252400000000000025250000000000002526000000000000252700000000000025280000000000002529000000000000253000000000000025310000000000002532000000000000253300000000000025340000000000002535000000000000253600000000000025370000000000002538000000000000253900000000000025400000000000002541000000000000254200000000000025430000000000002544000000000000254500000000000025460000000000002547000000000000254800000000000025490000000000002550000000000000255100000000000025520000000000002553000000000000255400000000000000
[11:44:49:122]	recv [D1] (8) C01102150B2D2500
[11:45:36:593]	send [EA] (59) 000000FFFF1102150B2D26010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:45:37:451]	recv [EA] (28) 1102150B2D26010A0000000C84999999992017022111453900000000
[11:45:37:935]	send [EA] (32) 000000FFFF1102150B2D27010A0000000F000000000099989999999912340000
[11:45:38:575]	recv [EA] (34) 1102150B2D27010A0000001200000007E102150B2813000000000000077800000000
[11:45:39:058]	send [EA] (110) 000000FFFF1102150B2D28010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:45:40:244]	recv [EA] (29) 1102150B2D28010A0000000D3000000000000099989999999900000000
[11:45:40:759]	send [EA] (110) 000000FFFF1102150B2D2C010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:45:43:754]	recv [EA] (29) 1102150B2D2C010A0000000D3000000000000099989999999900000000
[11:45:44:222]	send [EA] (110) 000000FFFF1102150B2D2F010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:45:47:201]	recv [EA] (29) 1102150B2D2F010A0000000D3000000000000099989999999900000000
[11:45:47:685]	send [EA] (110) 000000FFFF1102150B2D33010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111284353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:45:50:696]	recv [EA] (29) 1102150B2D33010A0000000D3000000000000099989999999900000000
[11:45:51:195]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:45:52:069]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:45:52:396]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:45:52:771]	CPUCard cmd: (5)805C000204 -> [9000](6)000014B49000
[11:45:52:927]	CPUCard cmd: (5)0084000004 -> [9000](6)40B859DA9000
[11:45:53:660]	send [EA] (54) 000000FFFF1102150B2D36010A0000002532000000009998999999991234000000019000000190909098040001882020022140B859DA
[11:45:54:034]	send [EA] (110) 000000FFFF1102150B2D37010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:45:54:830]	recv [EA] (53) 1102150B2D36010A00000025320000000000009998999999990001900000019090909800042020022140B859DAD35146C000000000
[11:45:55:376]	CPUCard cmd: (13)04D695180820200221D35146C0 -> [9000](2)9000
[11:45:55:594]	recv [EA] (29) 1102150B2D37010A0000000D3000000000000099989999999900000000
[11:45:55:828]	send [EA] (57) 000000FFFF1102150B2D39010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[11:45:56:593]	recv [EA] (64) 1102150B2D39010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910938220170111184939000700000000
[11:45:57:279]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:45:57:747]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:45:57:950]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)000014B400040100A6BD38B87771A6379000
[11:45:58:262]	send [EA] (85) 000000FFFF1102150B2D3B010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF87104000004000400000064000014B4A6BD38B87771A637881484131779109382
[11:45:59:198]	send [EA] (110) 000000FFFF1102150B2E00010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:45:59:994]	recv [EA] (58) 1102150B2D3B010A0000002A3400000000000099989999999900019000000190909098A6BD38B87771A637FDC388C42017022111460100000000
[11:46:00:555]	recv [EA] (29) 1102150B2E00010A0000000D3000000000000099989999999900000000
[11:46:00:789]	CPUCard cmd: (16)805200000B20170221114601FDC388C4 -> [9000](6)BD52929E9000
[11:46:01:476]	CPUCard cmd: (5)805C000204 -> [9000](6)000015189000
[11:46:01:632]	CPUCard cmd: (5)0084000004 -> [9000](6)9BEC3CB19000
[11:46:01:803]	send [EA] (74) 000000FFFF1102150B2E02010A000000393500000000999899999999123400000001900000019090909804000004201702211146010000006400001518BD52929E011484131779109382
[11:46:02:334]	send [EA] (110) 000000FFFF1102150B2E03010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:46:03:145]	recv [EA] (40) 1102150B2E02010A0000001835000001000000009998000199999999900000019090909800000000
[11:46:03:628]	recv [EA] (29) 1102150B2E03010A0000000D3000000000000099989999999900000000
[11:46:03:847]	CPUCard cmd: (5)0084000004 -> [9000](6)BF4744E19000
[11:46:04:393]	send [EA] (54) 000000FFFF1102150B2E05010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:04:752]	recv [EA] (61) 1102150B2E05010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:05:422]	send [EA] (54) 000000FFFF1102150B2E06010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:06:187]	send [EA] (110) 000000FFFF1102150B2E07010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:46:06:982]	recv [EA] (61) 1102150B2E06010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:07:575]	recv [EA] (29) 1102150B2E07010A0000000D3000000000000099989999999900000000
[11:46:07:794]	send [EA] (54) 000000FFFF1102150B2E09010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:08:542]	recv [EA] (61) 1102150B2E09010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:09:198]	send [EA] (54) 000000FFFF1102150B2E0A010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:09:915]	send [EA] (110) 000000FFFF1102150B2E0B010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111322253544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:46:10:711]	recv [EA] (61) 1102150B2E0A010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:11:304]	recv [EA] (29) 1102150B2E0B010A0000000D3000000000000099989999999900000000
[11:46:11:506]	send [EA] (54) 000000FFFF1102150B2E0C010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:12:255]	recv [EA] (61) 1102150B2E0C010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:12:895]	send [EA] (54) 000000FFFF1102150B2E0E010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:13:644]	send [EA] (110) 000000FFFF1102150B2E0E010A0000005D3000000000999899999999123400000000000149F004999999990000011702211132394E45545253543A72657365745F636F756E743D322C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[11:46:14:439]	recv [EA] (61) 1102150B2E0E010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:15:032]	recv [EA] (29) 1102150B2E0E010A0000000D3000000000000099989999999900000000
[11:46:15:250]	send [EA] (54) 000000FFFF1102150B2E10010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:15:984]	recv [EA] (61) 1102150B2E10010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:16:623]	send [EA] (54) 000000FFFF1102150B2E12010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:17:356]	send [EA] (110) 000000FFFF1102150B2E12010A0000005D300000000099989999999912340000000000014902010200001490000001909090982F7AF871040012340000201701111849390002000000000000000000000064000013EC43154F9C0002000000009998000000001484131779109379
[11:46:18:168]	recv [EA] (61) 1102150B2E12010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:18:745]	recv [EA] (29) 1102150B2E12010A0000000D3000000000000099989999999900000000
[11:46:18:963]	send [EA] (54) 000000FFFF1102150B2E14010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:19:696]	recv [EA] (61) 1102150B2E14010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:20:352]	send [EA] (54) 000000FFFF1102150B2E15010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:21:101]	send [EA] (110) 000000FFFF1102150B2E16010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111380653544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:46:21:881]	recv [EA] (61) 1102150B2E15010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:22:489]	recv [EA] (29) 1102150B2E16010A0000000D3000000000000099989999999900000000
[11:46:22:707]	send [EA] (54) 000000FFFF1102150B2E18010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:23:456]	recv [EA] (61) 1102150B2E18010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:24:096]	send [EA] (54) 000000FFFF1102150B2E19010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:24:813]	send [EA] (110) 000000FFFF1102150B2E19010A0000005D3000000000999899999999123400000000000149F004999999990000011702211138204E45545253543A72657365745F636F756E743D322C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[11:46:25:593]	recv [EA] (61) 1102150B2E19010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:26:217]	recv [EA] (29) 1102150B2E19010A0000000D3000000000000099989999999900000000
[11:46:26:467]	send [EA] (54) 000000FFFF1102150B2E1B010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:27:200]	recv [EA] (61) 1102150B2E1B010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980005BF4744E1542F956900000000
[11:46:27:855]	send [EA] (54) 000000FFFF1102150B2E1D010A00000025320000000099989999999912340000000190000001909090980400008800000004BF4744E1
[11:46:28:573]	send [EA] (110) 000000FFFF1102150B2E1D010A0000005D300000000099989999999912340000000000014902010200001790000001909090982F7AF87104001234000020170111184939000300000000000000000000006400001450EFFD0A1E0003000000009998000000001484131779109382
[11:46:29:369]	recv [EA] (61) 1102150B2E1D010A0000002D3200000000000099989999999900019000000190909098001220170221000000009998recv [D1] (8) C01102150B331A00
[11:51:25:755]	send [EA] (59) 000000FFFF1102150B331B010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:51:26:597]	recv [EA] (28) 1102150B331B010A0000000C84999999992017022111512800000000
[11:51:27:065]	send [EA] (32) 000000FFFF1102150B331C010A0000000F000000000099989999999912340000
[11:51:27:720]	recv [EA] (34) 1102150B331C010A0000001200000007E102150B2E08000000000000077800000000
[11:51:28:266]	send [EA] (110) 000000FFFF1102150B331D010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:51:29:436]	recv [EA] (29) 1102150B331D010A0000000D3000000000000099989999999900000000
[11:51:29:920]	send [EA] (110) 000000FFFF1102150B3321010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:51:32:915]	recv [EA] (29) 1102150B3321010A0000000D3000000000000099989999999900000000
[11:51:33:430]	send [EA] (110) 000000FFFF1102150B3324010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:51:36:410]	recv [EA] (29) 1102150B3324010A0000000D3000000000000099989999999900000000
[11:51:36:909]	send [EA] (110) 000000FFFF1102150B3328010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111284353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:51:39:920]	recv [EA] (29) 1102150B3328010A0000000D3000000000000099989999999900000000
[11:51:40:403]	send [EA] (110) 000000FFFF1102150B332B010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:51:43:383]	recv [EA] (29) 1102150B332B010A0000000D3000000000000099989999999900000000
[11:51:43:898]	send [EA] (110) 000000FFFF1102150B332F010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111322253544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:51:46:862]	recv [EA] (29) 1102150B332F010A0000000D3000000000000099989999999900000000
[11:51:47:345]	send [EA] (110) 000000FFFF1102150B3332010A0000005D3000000000999899999999123400000000000149F004999999990000011702211132394E45545253543A72657365745F636F756E743D322C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[11:51:50:325]	recv [EA] (29) 1102150B3332010A0000000D3000000000000099989999999900000000
[11:51:50:809]	send [EA] (110) 000000FFFF1102150B3335010A0000005D300000000099989999999912340000000000014902010200001490000001909090982F7AF871040012340000201701111849390002000000000000000000000064000013EC43154F9C0002000000009998000000001484131779109379
[11:51:53:773]	recv [EA] (29) 1102150B3335010A0000000D3000000000000099989999999900000000
[11:51:54:256]	recv [D1] (8) A01102150B333700
[11:51:55:161]	send [EA] (110) 000000FFFF1102150B3339010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111380653544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:51:56:861]	recv [EA] (29) 1102150B3339010A0000000D3000000000000099989999999900000000
[11:51:57:345]	send [EA] (110) 000000FFFF1102150B3400010A0000005D3000000000999899999999123400000000000149F004999999990000011702211138204E45545253543A72657365745F636F756E743D322C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[11:52:00:340]	recv [EA] (29) 1102150B3400010A0000000D3000000000000099989999999900000000
[11:52:00:902]	send [EA] (110) 000000FFFF1102150B3404010A0000005D300000000099989999999912340000000000014902010200001790000001909090982F7AF87104001234000020170111184939000300000000000000000000006400001450EFFD0A1E0003000000009998000000001484131779109382
[11:52:03:882]	recv [EA] (29) 1102150B3404010A0000000D3000000000000099989999999900000000
[11:52:04:381]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:52:05:270]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:52:05:598]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:52:05:972]	CPUCard cmd: (5)805C000204 -> [9000](6)000015189000
[11:52:06:128]	CPUCard cmd: (5)0084000004 -> [9000](6)482E96159000
[11:52:06:846]	send [EA] (54) 000000FFFF1102150B3407010A00000025320000000099989999999912340000000190000001909090980400018820200221482E9615
[11:52:07:220]	send [EA] (110) 000000FFFF1102150B3408010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111432853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:52:08:000]	recv [EA] (53) 1102150B3407010A000000253200000000000099989999999900019000000190909098000420200221482E96151738FF9600000000
[11:52:08:577]	CPUCard cmd: (13)04D6951808202002211738FF96 -> [9000](2)9000
[11:52:08:796]	recv [EA] (29) 1102150B3408010A0000000D3000000000000099989999999900000000
[11:52:09:014]	send [EA] (57) 000000FFFF1102150B340A010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[11:52:09:778]	recv [EA] (64) 1102150B340A010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910938020170111184939000600000000
[11:52:10:465]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:52:10:933]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:52:11:120]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)0000151800050100204E5E8E5D9151569000
[11:52:11:448]	send [EA] (85) 000000FFFF1102150B340C010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF8710400000500050000006400001518204E5E8E5D915156881484131779109380
[11:52:12:384]	send [EA] (110) 000000FFFF1102150B340D010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111432853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:52:13:257]	recv [EA] (58) 1102150B340C010A0000002A3400000000000099989999999900019000000190909098204E5E8E5D91515670F15CAD2017022111521400000000
[11:52:13:881]	recv [EA] (29) 1102150B340D010A0000000D3000000000000099989999999900000000
[11:52:14:115]	CPUCard cmd: (16)805200000B2017022111521470F15CAD -> [9000](6)2677AE919000
[11:52:14:770]	CPUCard cmd: (5)805C000204 -> [9000](6)0000157C9000
[11:52:14:942]	CPUCard cmd: (5)0084000004 -> [9000](6)45BCE6C89000
[11:52:15:098]	send [EA] (74) 000000FFFF1102150B3410010A00000039350000000099989999999912340000000190000001909090980400000520170221115214000000640000157C2677AE91011484131779109380
[11:52:15:675]	send [EA] (110) 000000FFFF1102150B3410010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111432853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:52:16:518]	recv [EA] (40) 1102150B3410010A0000001835000001000000009998000199999999900000019090909800000000
[11:52:17:001]	recv [EA] (29) 1102150B3410010A0000000D3000000000000099989999999900000000
[11:52:17:220]	CPUCard cmd: (5)0084000004 -> [9000](6)943C55229000
[11:52:17:766]	send [EA] (54) 000000FFFF1102150B3412010A00000025320000000099989999999912340000000190000001909090980400008800000005943C5522
[11:52:18:140]	recv [EA] (61) 1102150B3412010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980006943C5522B65A031E00000000
[11:52:18:795]	CPUCard cmd: (21)04D6851810201702210000000099980006943C5522 -> [6988](2)6988
[11:52:19:045]	send [EA] (110) 000000FFFF1102150B3414010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111432853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:52:20:386]	recv [EA] (29) 1102150B3414010A0000000D3000000000000099989999999900000000
[11:52:20:854]	send [EA] (110) 000000FFFF1102150B3417010A0000005D3000000000999899999999123400000000000149F004999999990000011702211143364E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:52:23:647]	recv [EA] (29) 1102150B3417010A0000000D3000000000000099989999999900000000
[11:52:24:099]	send [EA] (110) 000000FFFF1102150B341B010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111451553544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:52:26:938]	recv [EA] (29) 1102150B341B010A0000000D3000000000000099989999999900000000
[11:52:27:406]	send [EA] (110) 000000FFFF1102150B341E010A0000005D3000000000999899999999123400000000000149F004999999990000011702211145354E45545253543A72657365745F636F756E743D332C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[11:52:30:168]	recv [D1] (8) C01102150C021500
[12:02:21:162]	send [EA] (59) 000000FFFF1102150C0216010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[12:02:22:098]	recv [EA] (28) 1102150C0216010A0000000C84999999992017022112022400000000
[12:02:22:628]	send [EA] (32) 000000FFFF1102150C062B010A0000000F000000000099989999999912340000
[12:06:42:729]	send [EA] (32) 000000FFFF1102150C062D010A0000000F000000000099989999999912340000
[12:06:44:039]	send [EA] (32) 000000FFFF1102150C062E010A0000000F000000000099989999999912340000
[12:06:45:381]	send [EA] (32) 000000FFFF1102150C062F010A0000000F000000000099989999999912340000
[12:06:46:722]	send [EA] (32) 000000FFFF1102150C0631010A0000000F000000000099989999999912340000
[12:06:48:033]	send [EA] (32) 000000FFFF1102150C0632010A0000000F000000000099989999999912340000
[12:06:49:390]	recv [D1] (8) C01102150C071800
[12:07:23:055]	send [EA] (59) 000000FFFF1102150C0718010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[12:07:24:085]	recv [EA] (28) 1102150C0718010A0000000C84999999992017022112072600000000
[12:07:24:662]	send [EA] (32) 000000FFFF1102150C071A010A0000000F000000000099989999999912340000
[12:07:25:395]	recv [EA] (34) 1102150C071A010A0000001200000007E102150C0206000000000000077800000000
[12:07:25:957]	send [EA] (110) 000000FFFF1102150C071B010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111432853544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:07:27:392]	recv [EA] (29) 1102150C071B010A0000000D3000000000000099989999999900000000
[12:07:27:922]	send [EA] (110) 000000FFFF1102150C071E010A0000005D3000000000999899999999123400000000000149F004999999990000011702211143364E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[12:07:30:496]	recv [EA] (29) 1102150C071E010A0000000D3000000000000099989999999900000000
[12:07:31:011]	send [EA] (110) 000000FFFF1102150C0721010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111451553544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:07:33:507]	recv [EA] (29) 1102150C0721010A0000000D3000000000000099989999999900000000
[12:07:34:037]	send [EA] (110) 000000FFFF1102150C0725010A0000005D3000000000999899999999123400000000000149F004999999990000011702211145354E45545253543A72657365745F636F756E743D332C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[12:07:37:126]	recv [EA] (29) 1102150C0725010A0000000D3000000000000099989999999900000000
[12:07:37:641]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[12:07:38:608]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[12:07:44:677]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[12:07:45:129]	CPUCard cmd: (5)805C000204 -> [9000](6)0000157C9000
[12:07:45:332]	send [EA] (110) 000000FFFF1102150C072E010A0000005D300000000099989999999912340000000000014902010200001C90000001909090982F7AF871040012340000201701111849390004000000000000000000000064000014B4BD52929E0004000000009998000000001484131779109382
[12:07:46:268]	recv [EA] (29) 1102150C072E010A0000000D3000000000000099989999999900000000
[12:07:46:814]	CPUCard cmd: (5)0084000004 -> [9000](6)1E2C6DD79000
[12:07:53:304]	send [EA] (54) 000000FFFF1102150C0800010A000000253200000000999899999999123400000001900000019090909804000188202002211E2C6DD7
[12:07:59:731]	recv [EA] (53) 1102150C0800010A0000002532000000000000999899999999000190000001909090980004202002211E2C6DD742BD791900000000
[12:08:00:448]	CPUCard cmd: (13)04D69518082020022142BD7919 -> [9000](2)9000
[12:08:17:967]	send [EA] (57) 000000FFFF1102150C0813010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[12:08:18:810]	send [EA] (110) 000000FFFF1102150C0814010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111504053544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:08:19:761]	recv [EA] (64) 1102150C0813010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910938120170111184939000500000000
[12:08:20:448]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[12:08:20:994]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[12:08:21:228]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)0000157C00060100D878AF34DEEA108E9000
[12:08:21:602]	recv [EA] (29) 1102150C0814010A0000000D3000000000000099989999999900000000
[12:08:21:867]	send [EA] (85) 000000FFFF1102150C0817010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF871040000060006000000640000157CD878AF34DEEA108E881484131779109381
[12:08:22:897]	send [EA] (110) 000000FFFF1102150C0818010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111504053544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:08:23:833]	recv [EA] (58) 1102150C0817010A0000002A3400000000000099989999999900019000000190909098D878AF34DEEA108E768961452017022112082500000000
[12:08:24:488]	recv [EA] (29) 1102150C0818010A0000000D3000000000000099989999999900000000
[12:08:24:753]	CPUCard cmd: (16)805200000B2017022112082576896145 -> [9000](6)0CE744079000
